 time t = 0
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.395e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.4e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.405e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.41e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.415e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.42e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.425e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.43e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.435e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.44e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.445e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.45e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.455e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.46e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.465e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.47e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.475e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.48e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.485e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.49e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.495e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.5e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.505e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.51e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.515e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.52e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.525e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.53e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.535e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.54e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.545e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.55e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
 5 41137.5585328 51137.5585328 0.5
 6 41138.9487725 51138.9487725 0.5
 7 41138.9680722 51138.9680722 0.5
 8 41140.3011137 51140.3011137 0.5
 9 41147.0795021 51147.0795021 1
 10 41147.1033402 51147.1033402 1
 11 41148.2777068 51148.2777068 1
 12 41148.3117543 51148.3117543 1
 13 41148.3117547 51148.3117547 1
 14 41148.312754 51148.312754 1
 15 41149.8581043 51149.8581043 1
 16 41149.8722259 51149.8722259 1
 17 41156.2434934 51156.2434934 0.5
 18 41157.6260043 51157.6260043 0.5
 19 41157.6432635 51157.6432635 0.5
 20 41158.9856153 51158.9856153 0.5

 time t = 1.555e-007
 6992843.28438 0 -1 10000 3  0 3 0
 0 -10000 0 0
 1 -16.1548972306 9983.84510277 0
 2 -9.33730796464 9990.66269204 1
 3 0 10000 1
 4 0 10000 1
